ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
44,43,43,41,1,1,1,1,2,2,36,16,23,25,1,41,41,16,2,41,41,41,24,19,25,39,24,22,16,36
2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1
14431,14431,14045,2480,240,28,225,1,2,2,294,23,50,77,24,3036,3076,19,447,3231,3231,3231,50,64,77,644,50,59,22,267
89312,89312,86673,5424,237,27,220,1,2,2,298,23,50,77,24,9161,9420,19,711,10644,10643,10644,51,70,77,782,50,61,23,271
84,82,84,81,1,1,1,1,2,2,65,19,33,35,1,81,81,18,3,81,81,81,32,29,34,74,32,28,19,66
1052,1052,1046,723,115,20,107,1,2,2,163,22,46,61,20,727,722,19,75,734,734,734,46,56,63,209,44,54,22,142
2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
8,6,6,6,1,1,1,1,2,2,6,6,6,6,1,6,6,5,2,6,6,6,5,6,6,6,6,6,6,6
21301,21301,20867,1233,214,29,197,1,2,2,268,22,50,74,24,1942,1923,19,655,2122,2122,2122,51,63,74,429,50,59,23,247
19,19,19,19,1,1,1,1,2,2,17,13,13,13,1,19,19,13,3,19,19,19,14,15,14,18,13,15,13,18
28900,28899,28188,1302,249,31,234,1,2,2,256,22,50,68,24,2093,2220,19,672,2401,2401,2401,50,63,68,410,49,58,23,226
537,471,489,454,1,1,1,1,2,2,178,20,47,65,1,467,468,19,16,469,469,469,47,46,65,282,46,45,20,173
1072,1072,1063,85,101,19,96,1,2,2,68,22,38,41,17,104,108,17,77,110,110,110,37,39,41,65,37,39,22,59
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,3,3,3,3,1,1,2,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,1,1,1,1,2,1,3,3,2,2,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
